# Coluna1	Coluna2	Coluna3
-0.04230	-0.05175	0.00480
0.00681	-0.00116	0.01746
0.07667	0.03863	0.03869
0.15774	0.08135	0.04833
0.23286	0.11671	0.04420
0.30215	0.13220	0.04060
0.38799	0.16011	0.02810
0.50292	0.22061	0.00460
0.62399	0.30153	-0.03292
0.74270	0.39767	-0.08095
0.86140	0.50800	-0.13590
0.95562	0.59899	-0.20158
1.02768	0.65588	-0.24288
1.02854	0.67864	-0.28136
0.98427	0.59579	-0.28451
0.94050	0.39575	-0.21450
0.81308	0.26514	-0.15451
0.67761	0.18278	-0.05478
0.51651	0.09046	0.10485
0.33792	-0.00515	0.23709
0.21385	-0.06915	0.26940
0.14037	-0.11618	0.28433
0.08915	-0.17617	0.29234
0.02827	-0.22621	0.26484
-0.02912	-0.24343	0.22223
-0.05525	-0.24485	0.19800
-0.07535	-0.25272	0.16600
-0.08267	-0.25100	0.14807
-0.08202	-0.24725	0.13946
-0.08282	-0.25069	0.12554
-0.08235	-0.25220	0.10755
-0.07813	-0.24924	0.09231
-0.07683	-0.24780	0.07674
-0.07900	-0.25064	0.06032
-0.07480	-0.24689	0.05077
-0.06060	-0.23140	0.04950
-0.05074	-0.21749	0.04406
-0.04175	-0.20519	0.04243
-0.03671	-0.19682	0.04517
-0.03500	-0.18901	0.04644
-0.03070	-0.18180	0.04635
-0.02523	-0.17096	0.04632
-0.02270	-0.16229	0.04519
-0.02204	-0.15526	0.04126
-0.02212	-0.14900	0.03719
-0.02380	-0.14480	0.03495
-0.02394	-0.14177	0.03180
-0.02313	-0.13881	0.02872
-0.01984	-0.13469	0.02960
-0.01600	-0.13132	0.02982
-0.01380	-0.12860	0.02730
-0.01384	-0.12880	0.02674
-0.01404	-0.12672	0.02512
-0.01262	-0.12182	0.02238
-0.01092	-0.12064	0.02056
-0.01040	-0.12060	0.01920
-0.00571	-0.11667	0.02078
-0.00386	-0.11627	0.01917
-0.00294	-0.11638	0.01737
-0.00177	-0.11218	0.01545
-0.00125	-0.10825	0.01150
0.00003	-0.10940	0.00759
0.00433	-0.10797	0.00666
0.00793	-0.10641	0.00648
0.00934	-0.10643	0.00222
0.01230	-0.10435	-0.00210
0.01274	-0.10147	-0.00538
0.01489	-0.09868	-0.00911
0.01747	-0.09598	-0.01279
0.01984	-0.09316	-0.01568
0.02340	-0.08920	-0.01880
0.02541	-0.08554	-0.02402
0.02881	-0.08214	-0.02856
0.03034	-0.08020	-0.03201
0.03032	-0.08081	-0.03607
0.03185	-0.08020	-0.04080
0.03268	-0.07833	-0.04546
0.03564	-0.07691	-0.04667
0.03584	-0.07960	-0.04841
0.03755	-0.07904	-0.05326
0.04875	-0.07065	-0.05785
0.05578	-0.06446	-0.06528
0.05976	-0.05768	-0.06717
0.06577	-0.05075	-0.07384
0.07255	-0.04533	-0.08449
0.07535	-0.04015	-0.08805
0.08100	-0.03399	-0.09507
0.08630	-0.02785	-0.10437
0.09132	-0.02190	-0.10997
0.09971	-0.01596	-0.11556
0.11015	-0.00965	-0.12550
0.11606	-0.00347	-0.13109
0.12740	0.00208	-0.13632
0.13645	0.00760	-0.14935
0.14446	0.01726	-0.16479
0.15705	0.03230	-0.17255
0.15700	0.03529	-0.17881
0.16843	0.03649	-0.18506
0.18125	0.04020	-0.19341
0.18897	0.04840	-0.20743
0.20235	0.05500	-0.22245
0.21208	0.05467	-0.23498
0.23181	0.07918	-0.24722
0.24614	0.09579	-0.25870
0.25281	0.09611	-0.27127
0.26530	0.11005	-0.28725
0.27055	0.11970	-0.30095
0.27822	0.12904	-0.31071
0.28653	0.13674	-0.31517
0.29543	0.14295	-0.32292
0.30680	0.15185	-0.34300
0.30957	0.15640	-0.36275
0.31515	0.16717	-0.37295
0.32716	0.18585	-0.38424
0.34110	0.20561	-0.39772
0.35080	0.21985	-0.40475
0.35549	0.22831	-0.40763
0.35900	0.23103	-0.41717
0.36141	0.23547	-0.42083
0.36403	0.23906	-0.41619
0.36635	0.24000	-0.41630
0.36103	0.24444	-0.41394
0.35688	0.24890	-0.41479
0.34541	0.24626	-0.41009
0.32944	0.23913	-0.40129
0.32260	0.23530	-0.39305
0.31278	0.23070	-0.37603
0.30189	0.22286	-0.36113
0.28737	0.21537	-0.34689
0.26945	0.21233	-0.33288
0.25200	0.20600	-0.32065
0.23199	0.19254	-0.30029
0.21213	0.17665	-0.27920
0.19305	0.16404	-0.25961
0.17392	0.15437	-0.24213
0.15620	0.14585	-0.22545
0.13480	0.13105	-0.20609
0.11509	0.11613	-0.18614
0.09846	0.09769	-0.16650
0.08235	0.07656	-0.14770
0.06800	0.06085	-0.12945
0.05388	0.04761	-0.11157
0.04127	0.03495	-0.09514
0.03013	0.02205	-0.07930
0.01964	0.00940	-0.06370
0.01215	-0.00050	-0.05045
0.00508	-0.00885	-0.04278
-0.00118	-0.01125	-0.03280
-0.00750	-0.01562	-0.02408
-0.01387	-0.02154	-0.01756
-0.01920	-0.02530	-0.00965
-0.02728	-0.04119	-0.00530
-0.02974	-0.04599	0.00436
-0.03219	-0.04544	0.01072
-0.03637	-0.05001	0.01142
-0.03710	-0.05355	0.01435
